id,content,score
56a19574-4289-446b-b5a1-b6dae7ee1efd,nice app I like this bro W app cause I see a lot of good vids and it's fun,5
fd733e62-4a46-4c9c-a565-8e2211fca445,doesn't let me chat with my friends or have a streak with my friends,1
a6ae9231-1103-41ae-939f-53cde5c629a9,The one of the good app in playstore is Tiktok.,5
eac80ea5-c322-45fe-a2eb-1964f86bcd42,"why can i not create a VIDEO with just pictures, i dont want to keep posting photos people need to scroll and with the new updat i cant make photos into videas anymore hate that. why did that change and not let there still be a choice? please change it back!! why did so much change with making the videos it was good like it was , tgere were enough options",2
53595a4c-eb5c-4a13-a038-06a1085c66ad,"it's good and all but it's been lagging a lot lately, it keeps freezing and kicking me out the app for now reason, and it's not because I have slow wifi or slow phone, it just kicks me out, not even letting me play a single video, pls fix this",3
51f6890f-8bdb-463e-a52c-792c1305a067,To much bad as i think,1
08297390-d562-4f88-b6df-35e1d9e382d5,"I used to really enjoy tick tock but now it's a waste of time. when I log in all it is is ads. that's all it is, scrolling through ads. tick tock doesn't care either. they'll send a pre-made response to everything. they'll probably say ""ih were sorry you're having this experience"" and do nothing about it. DO NOT download tick tock unless you want to just scroll through a bunch of ads and stuff you don't care about. used to be fun, now it's not",2
02071726-9def-4aeb-8e24-04ad3b5f4c24,has a bug always glitches,2
e8b91238-7cc8-43dc-9535-e6f6fd393929,love this app and love whack live,5
a23fb0c4-fcea-4ace-8cd7-1eee4fb3a295,my tictok right now is not working pls help me,2
086362d1-c9d9-4d9d-bda4-0538152310c4,"It is difficult to login, Doesn't load after inputing password and i cant find artist hub, all i see is work with artist",2
d7e8723e-4c50-43a5-8048-5da2f9057e9d,photo picture is not uploading on tiktok of mine account I request tiktok to solve this,1
c58a69a0-3595-490b-b03e-b4851c8c989c,I need more updates on TikTok,5
08a95fd1-6f1b-4411-8ded-1b29ae34cb15,I'm like this app because the people are get in this app fany video's and we can smile on this,5
3cf6443e-33f8-4c05-accf-1d61f72a9de1,"I love this app ,fast and smooth.",5
70a239b7-ff68-4853-bf1a-4e4d39a50ebd,give me my chat bubble while texting someone.....,3
980db59e-edb4-4ee9-af95-9a64bc8cd0f2,"I keep getting ads for this app, the entire world knows tik-tok exists so the new ppl you are trying to market to clearly have no interest in this platform.",1
60510d32-ae6f-462f-b619-4d467aa7c89d,in boring time. this app make me happy.,2
89294879-4fd3-4b70-a7be-71a716d401b8,can't watch more than 2 videos after the update. freezing all the time,1
40197cbf-24ef-42db-b5ac-626046a2ce2b,I saw agonising edits and I don't appreciate it,1
3162a8cd-bda1-4e9d-a07b-5ca1483706d7,bad app it kept said I was doing something even tho I done it 5 months ago and I got banned for no reason also it keeps kicking me out of the app,1
f2dace54-1d58-4dda-a7e9-08ba3a255ec2,Bad content need good moderation,1
2fe34aef-482e-4609-9e12-4555a6b0985d,TikTok excellent performance app,5
95e066d1-2e39-476e-985b-55ac7f82cfc5,it is a great app I love the app,5
20b4052a-e356-4ee0-a482-2b39e0ddf67f,Vedios views hii nh ly rhii hn followers bii nhi hn plz tiktok team unfreeze my acc tik tok mera acc buri tarha sy freze ha,5
d7add99e-46a0-4db2-ab83-1acceb4a71f4,photo mode option is missing and support didn't help me,1
4d4c3da8-6775-4803-881c-23ffc4b327e7,Love this app probely be 10 years old to have,4
c331527a-5c82-4e28-a053-cd81b98f2101,Unfrezzmyaccount #foryoupage,5
bc1ff8e4-9cea-4670-8b53-381b44496e3f,The TikTok app is just restricting the account from message and one can't even appeal on it it's trash if you don't repair it I will stop using it,1
e2ab571f-8532-44fb-a6c6-3c052bfe391e,"This account ( megveszlak) appears to share the exact home location of a public figure, which is a serious invasion of privacy and could put them at risk. I am reporting this because sharing private addresses or precise location details is unsafe and should not be allowed on the platform.",5
1f9ffbbe-83c4-4cb1-a46d-66a90ad22702,"when it got sold every ad became about gambling or sex no matter how man times i said i wasnt interested. no i dont need blue chew. no, i dont need a payday loan. no. i dont need an AI girlfriend. no i dont need to talk to sexy singles in my area.",1
640bd5c4-c917-4dc2-a99c-1d2e70e3aaea,my permanently suspended accounts not recover I have submitted 1000 apeales,1
26435bec-f693-4415-a582-6aea8a94a684,The content is way better than any app that has a scrolling feature it allows for a customizable content based on what u search and or who u follow over all Tik Tok is a great app.,5
f4b6e488-1493-4a13-998e-f52830117d2e,I want more views and followers and likes thanks,5
f39d8900-43e8-4872-bd43-032545ee4e79,very good very good very good!,5
03fe0e5b-1fad-4b1e-800e-033c40410b16,the ads are fake lives that promote lives but they're just stealing videos and putting a fake live overlay on it with fake comments and fake gifts and also I have said not interested on the ads about 23 times now but they keep appearing with the fake ads so this is my review saying the ads are fake and tiktok shop is way too promoted in app but the videos are fine. just tiktok is so damn annoying like here's a fake discount or let me shove a discount down your throat you just need to buy 5 thing,1
a8d5e918-1fb4-4762-88e0-c767488f654f,annoying pop ups asking me if im interested. I uninstalled it.,1
1a700cb5-42cb-4f38-b589-150a35d597dd,i love tik tok for you video,5
662a8c98-63b4-438b-9b10-e006eb0bb7b2,"age restriction is by far one of the worst things TikTok ever did, me being over 16 and requesting 4 unsuccessful appeals is genuinely sad",1
c5f08849-8892-4cdf-ba50-c3a64ad47263,"I have never used TikTok. This one star review is purely because of your ads choices. I am not allowed to skip them, they are clearly Ai generated, and if you try to tell me they aren't; You need to have everyone of those people arrested for the illegal activity. Companies like Oracle, Abu, or Silver Lake should really try to show little more pride in their newest work.",1
7ee12ec0-26b1-4f11-a880-eb0ae44f1649,"Autoplay nonsense, can't leave the app without being brought to another video, if someone sends you a video it plays a different video instead, way too much nonsense",2
29a319b4-8613-4597-8320-e724d69e5e8d,its the best app ever before tiktok aded ads,4
3d17b0d3-9457-4eaf-8ba1-8c120bad3171,very very happy laken live nahen Hy,5
